On The Road (feat. Meek Mill & Lil Baby),Post Malone
Slave To Perfection,One After None
What I've Done,Linkin Park
Numb / Encore,JAY-Z
R.I.P. SCREW,Travis Scott
The Mountain,Three Days Grace
Cold as Ice,Foreigner
Alone In A Room,Asking Alexandria
No Manners,1UP
Moon Rover,1UP
Revive,Ariaa
Fly N Ghetto,Ayo & Teo
Me and My Guitar,A Boogie Wit da Hoodie
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem
FRIDAY,916frosty
Something More,Smirk
Ring Ring (with Rvssian feat. Clever),Juice WRLD
"Wake Up Call (feat. Trippie Redd, Tobi & P Money) - Yoshi Remix",KSI
Stepping Stone,Eminem
Hocus Pocus,DJ Kay Slay
Daze,ELIOZIE
3005,Childish Gambino
the ends,Travis Scott
For The Night (feat. Lil Baby & DaBaby),Pop Smoke
Reality Check,Swae Lee
My City,Lil Tjay
Save Me,Skillet
Bulletproof,Godsmack
Looking 4 Existence,Yung Pinch
Cash Machine,Oliver Tree
Painkiller,Three Days Grace
ADHD,Joyner Lucas
Candy (feat. Trippie Redd),Machine Gun Kelly
Hopelessly Hopeful,Asking Alexandria
Angel,Theory of a Deadman
Words As Weapons,Seether
Dangerous,Seether
Take It From Me,KONGOS
Let Down,Palisades
WELFARE (feat. Westside Gunn),RMR